"timeMillisSpent","score"
25420,"0hard/11070soft"
25452,"0hard/9786soft"
25485,"0hard/8135soft"
25519,"0hard/10192soft"
25558,"0hard/11070soft"
25587,"0hard/9786soft"
25616,"0hard/8135soft"
25654,"0hard/10192soft"
25682,"0hard/11070soft"
25719,"0hard/9786soft"
25754,"0hard/8135soft"
25784,"0hard/10192soft"
25812,"0hard/11070soft"
25846,"0hard/9786soft"
25874,"0hard/8135soft"
25911,"0hard/10192soft"
25944,"0hard/11070soft"
25975,"0hard/9786soft"
26004,"0hard/8135soft"
26036,"0hard/10192soft"
26069,"0hard/11070soft"
26097,"0hard/9786soft"
26129,"0hard/8135soft"
26159,"0hard/10192soft"
26195,"0hard/11070soft"
26224,"0hard/9786soft"
26255,"0hard/8135soft"
26285,"0hard/10192soft"
26315,"0hard/11070soft"
26347,"0hard/9557soft"
26380,"0hard/7836soft"
26411,"0hard/10192soft"
26444,"0hard/11070soft"
26474,"0hard/9786soft"
26503,"0hard/8135soft"
26536,"0hard/10192soft"
26567,"0hard/11070soft"
26594,"0hard/9786soft"
26623,"0hard/8135soft"
26658,"0hard/10192soft"
26690,"0hard/11070soft"
26720,"0hard/9786soft"
26753,"0hard/8135soft"
26785,"0hard/6364soft"
26814,"0hard/7836soft"
26845,"0hard/9557soft"
26875,"0hard/11070soft"
26912,"0hard/9786soft"
26942,"0hard/8135soft"
26976,"0hard/10192soft"
27011,"0hard/11070soft"
27048,"0hard/9786soft"
27079,"0hard/8135soft"
27111,"0hard/6364soft"
27140,"0hard/7836soft"
27170,"0hard/10192soft"
27206,"0hard/11070soft"
27234,"0hard/9786soft"
27264,"0hard/8135soft"
27296,"0hard/10192soft"
27324,"0hard/11070soft"
27357,"0hard/9786soft"
27394,"0hard/8135soft"
27432,"0hard/10192soft"
27462,"0hard/11070soft"
27488,"0hard/9786soft"
27518,"0hard/8135soft"
27547,"0hard/10192soft"
27581,"0hard/11070soft"
27607,"0hard/9786soft"
27640,"0hard/8135soft"
27673,"0hard/6364soft"
27707,"0hard/7836soft"
27739,"0hard/10192soft"
27768,"0hard/11070soft"
27795,"0hard/9786soft"
27825,"0hard/8135soft"
27854,"0hard/10192soft"
27884,"0hard/11070soft"
27914,"0hard/9786soft"
27946,"0hard/8135soft"
27978,"0hard/6364soft"
28011,"0hard/7836soft"
28044,"0hard/10192soft"
28074,"0hard/11070soft"
28105,"0hard/9786soft"
28142,"0hard/8135soft"
28179,"0hard/10192soft"
28212,"0hard/11070soft"
28246,"0hard/9786soft"
28277,"0hard/8135soft"
28310,"0hard/10192soft"
28339,"0hard/11070soft"
28374,"0hard/9786soft"
28405,"0hard/8135soft"
28437,"0hard/6339soft"
28471,"0hard/7780soft"
28503,"0hard/10192soft"
28532,"0hard/11070soft"
28568,"0hard/9786soft"
28597,"0hard/8135soft"
28627,"0hard/10192soft"
28656,"0hard/11070soft"
28692,"0hard/9786soft"
28720,"0hard/8135soft"
28757,"0hard/10192soft"
28785,"0hard/11070soft"
28818,"0hard/9786soft"
28850,"0hard/8135soft"
28879,"0hard/10192soft"
28912,"0hard/11070soft"
28940,"0hard/9786soft"
28967,"0hard/8135soft"
29000,"0hard/10192soft"
29031,"0hard/11070soft"
29062,"0hard/9786soft"
29091,"0hard/8135soft"
29122,"0hard/10192soft"
29152,"0hard/11070soft"
29184,"0hard/9786soft"
29212,"0hard/8135soft"
29246,"0hard/10192soft"
29283,"0hard/11070soft"
29314,"0hard/9557soft"
29346,"0hard/7674soft"
29377,"0hard/9786soft"
29409,"0hard/11070soft"
29438,"0hard/10192soft"
29471,"0hard/8135soft"
29506,"0hard/9786soft"
29539,"0hard/11070soft"
29572,"0hard/9557soft"
29602,"0hard/7836soft"
29634,"0hard/6364soft"
29666,"0hard/8135soft"
29696,"0hard/10192soft"
29728,"0hard/11070soft"
29760,"0hard/9557soft"
29792,"0hard/7674soft"
29831,"0hard/9786soft"
29862,"0hard/11070soft"
29891,"0hard/10192soft"
29919,"0hard/8135soft"
29956,"0hard/9786soft"
29986,"0hard/11070soft"
30000,"0hard/10192soft"
